po_number,supplier_name,supplier_id,minority_supplier_certificate,sustainability_rating,financial_health_score,service_name,parent_category,category,description,catalog_id,route,equipment,total_weight_lbs,quantity,dimensions,distance_miles,base_rate_per_mile,fuel_surcharge,detention_rate_per_hour,liftgate_service_rate,total_estimated_cost,contract_utilised,payment_terms,currency,unit_of_measure,country,po_date,pickup_date,delivery_date,"
actual_receipt_date",special_instructions,additional_terms_and_conditions,additional_services,contract_id,contract_value,contract_term,contract_start_date,contract_end_date,authorized_by,ship_from,ship_from_address,ship_to,ship_to_address,department,cost_center,gl_account_id,requester
PO9866,J.B. Hunt Transport Services,SUP0053,yes,1.5,2.7,LTL,Transportation Service,Ground freight,"J.B. Hunt offers Less Than Truckload (LTL) services, providing efficient transportation solutions for smaller freight shipments that don’t require a full truck. Their LTL services help businesses save costs by sharing truck space with other shipments, ensuring timely deliveries and flexible scheduling.",CAT5668,Ohio to Brampton,Dry Van,5000,5,48 x 40 x 60 (per pallet),327,3.2,0.25,74,0.12,8245,0.0,Net 90 days,USD,plt,US,1/10/2023,1/12/2023,1/15/2023,1/15/2023,"Liftgate required at delivery, Call 2 hours before delivery",Standard terms and conditions apply,Inside Delivery,0,0.0,0.0,0,0,Karen Bailey,Foseco Manufacturing,"20200 Sheldon Road, Cleveland, Ohio 44142 USA",Easeworkai,"canada, L6P 0A1 (Brampton)",Maintenance,CC80,GL3338,Ratha Natarajanan
PO9859,J.B. Hunt Transport Services,SUP0053,yes,1.5,2.7,LTL,Transportation Service,Ground freight,"J.B. Hunt offers Less Than Truckload (LTL) services, providing efficient transportation solutions for smaller freight shipments that don’t require a full truck. Their LTL services help businesses save costs by sharing truck space with other shipments, ensuring timely deliveries and flexible scheduling.",CAT5668,Ohio to Brampton,Dry Van,5000,5,48 x 40 x 60 (per pallet),327,3.2,0.25,74,0.12,8245,0.0,Net 90 days,USD,plt,US,1/24/2023,1/29/2023,1/31/2023,1/31/2023,"Liftgate required at delivery, Call 2 hours before delivery",Standard terms and conditions apply,Inside Delivery,0,0.0,0.0,0,0,Karen Bailey,Foseco Manufacturing,"20200 Sheldon Road, Cleveland, Ohio 44142 USA",Easeworkai,"canada, L6P 0A1 (Brampton)",Maintenance,CC80,GL3338,Ratha Natarajanan
PO9840,J.B. Hunt Transport Services,SUP0053,yes,1.5,2.7,LTL,Transportation Service,Ground freight,"J.B. Hunt offers Less Than Truckload (LTL) services, providing efficient transportation solutions for smaller freight shipments that don’t require a full truck. Their LTL services help businesses save costs by sharing truck space with other shipments, ensuring timely deliveries and flexible scheduling.",CAT5668,Ohio to Brampton,Dry Van,5000,5,48 x 40 x 60 (per pallet),327,3.2,0.25,74,0.12,8245,0.0,Net 90 days,USD,plt,US,4/29/2023,5/1/2023,5/4/2023,5/4/2023,"Liftgate required at delivery, Call 2 hours before delivery",Standard terms and conditions apply,Inside Delivery,0,0.0,0.0,0,0,Karen Bailey,Foseco Manufacturing,"20200 Sheldon Road, Cleveland, Ohio 44142 USA",Easeworkai,"canada, L6P 0A1 (Brampton)",Maintenance,CC80,GL3338,Ratha Natarajanan
PO9868,J.B. Hunt Transport Services,SUP0053,yes,1.5,2.7,LTL,Transportation Service,Ground freight,"J.B. Hunt offers Less Than Truckload (LTL) services, providing efficient transportation solutions for smaller freight shipments that don’t require a full truck. Their LTL services help businesses save costs by sharing truck space with other shipments, ensuring timely deliveries and flexible scheduling.",CAT5668,Ohio to Brampton,Dry Van,5000,5,48 x 40 x 60 (per pallet),327,3.2,0.25,74,0.12,8245,0.0,Net 90 days,USD,plt,US,5/21/2023,5/26/2023,5/29/2023,5/29/2023,"Liftgate required at delivery, Call 2 hours before delivery",Standard terms and conditions apply,Inside Delivery,0,0.0,0.0,0,0,Karen Bailey,Foseco Manufacturing,"20200 Sheldon Road, Cleveland, Ohio 44142 USA",Easeworkai,"canada, L6P 0A1 (Brampton)",Maintenance,CC80,GL3338,Ratha Natarajanan
PO9862,J.B. Hunt Transport Services,SUP0053,yes,1.5,2.7,LTL,Transportation Service,Ground freight,"J.B. Hunt offers Less Than Truckload (LTL) services, providing efficient transportation solutions for smaller freight shipments that don’t require a full truck. Their LTL services help businesses save costs by sharing truck space with other shipments, ensuring timely deliveries and flexible scheduling.",CAT5668,Ohio to Brampton,Dry Van,5000,5,48 x 40 x 60 (per pallet),327,3.2,0.25,74,0.12,8245,0.0,Net 90 days,USD,plt,US,5/24/2023,5/27/2023,5/29/2023,5/29/2023,"Liftgate required at delivery, Call 2 hours before delivery",Standard terms and conditions apply,Inside Delivery,0,0.0,0.0,0,0,Karen Bailey,Foseco Manufacturing,"20200 Sheldon Road, Cleveland, Ohio 44142 USA",Easeworkai,"canada, L6P 0A1 (Brampton)",Maintenance,CC80,GL3338,Ratha Natarajanan
PO9842,J.B. Hunt Transport Services,SUP0053,yes,1.5,2.7,LTL,Transportation Service,Ground freight,"J.B. Hunt offers Less Than Truckload (LTL) services, providing efficient transportation solutions for smaller freight shipments that don’t require a full truck. Their LTL services help businesses save costs by sharing truck space with other shipments, ensuring timely deliveries and flexible scheduling.",CAT5668,Ohio to Brampton,Dry Van,5000,5,48 x 40 x 60 (per pallet),327,3.2,0.25,74,0.12,8245,0.0,Net 90 days,USD,plt,US,6/8/2023,6/11/2023,6/14/2023,6/14/2023,"Liftgate required at delivery, Call 2 hours before delivery",Standard terms and conditions apply,Inside Delivery,0,0.0,0.0,0,0,Karen Bailey,Foseco Manufacturing,"20200 Sheldon Road, Cleveland, Ohio 44142 USA",Easeworkai,"canada, L6P 0A1 (Brampton)",Maintenance,CC80,GL3338,Ratha Natarajanan
PO9995,J.B. Hunt Transport Services,SUP0053,yes,1.5,2.7,LTL,Transportation Service,Ground freight,"J.B. Hunt offers Less Than Truckload (LTL) services, providing efficient transportation solutions for smaller freight shipments that don’t require a full truck. Their LTL services help businesses save costs by sharing truck space with other shipments, ensuring timely deliveries and flexible scheduling.",CAT5668,Ohio to Brampton,Dry Van,8000,8,48 x 40 x 60 (per pallet),327,3.2,0.25,96,0.12,16072,0.0,Net 90 days,USD,plt,US,6/12/2023,6/14/2023,6/16/2023,6/16/2023,"Liftgate required at delivery, Call 2 hours before delivery",Standard terms and conditions apply,Pallet Jack,0,0.0,0.0,0,0,Charles Morales,Foseco Manufacturing,"20200 Sheldon Road, Cleveland, Ohio 44142 USA",Easeworkai,"canada, L6P 0A1 (Brampton)",Marketing,CC83,GL3338,Ratha Natarajanan
PO9844,J.B. Hunt Transport Services,SUP0053,yes,1.5,2.7,LTL,Transportation Service,Ground freight,"J.B. Hunt offers Less Than Truckload (LTL) services, providing efficient transportation solutions for smaller freight shipments that don’t require a full truck. Their LTL services help businesses save costs by sharing truck space with other shipments, ensuring timely deliveries and flexible scheduling.",CAT5668,Ohio to Brampton,Dry Van,5000,5,48 x 40 x 60 (per pallet),327,3.2,0.25,74,0.12,8245,0.0,Net 90 days,USD,plt,US,7/3/2023,7/7/2023,7/10/2023,7/10/2023,"Liftgate required at delivery, Call 2 hours before delivery",Standard terms and conditions apply,Inside Delivery,0,0.0,0.0,0,0,Karen Bailey,Foseco Manufacturing,"20200 Sheldon Road, Cleveland, Ohio 44142 USA",Easeworkai,"canada, L6P 0A1 (Brampton)",Maintenance,CC80,GL3338,Ratha Natarajanan
PO9856,J.B. Hunt Transport Services,SUP0053,yes,1.5,2.7,LTL,Transportation Service,Ground freight,"J.B. Hunt offers Less Than Truckload (LTL) services, providing efficient transportation solutions for smaller freight shipments that don’t require a full truck. Their LTL services help businesses save costs by sharing truck space with other shipments, ensuring timely deliveries and flexible scheduling.",CAT5668,Ohio to Brampton,Dry Van,7000,7,48 x 40 x 60 (per pallet),327,3.2,0.25,74,0.12,13223,0.0,Net 90 days,USD,plt,US,8/1/2023,8/6/2023,8/8/2023,8/8/2023,"Liftgate required at delivery, Call 2 hours before delivery",Standard terms and conditions apply,Inside Delivery,0,0.0,0.0,0,0,Karen Bailey,Foseco Manufacturing,"20200 Sheldon Road, Cleveland, Ohio 44142 USA",Easeworkai,"canada, L6P 0A1 (Brampton)",Maintenance,CC80,GL3338,Ratha Natarajanan
PO9969,J.B. Hunt Transport Services,SUP0053,yes,1.5,2.7,LTL,Transportation Service,Ground freight,"J.B. Hunt offers Less Than Truckload (LTL) services, providing efficient transportation solutions for smaller freight shipments that don’t require a full truck. Their LTL services help businesses save costs by sharing truck space with other shipments, ensuring timely deliveries and flexible scheduling.",CAT5668,Ohio to Brampton,Dry Van,8000,8,48 x 40 x 60 (per pallet),327,3.2,0.25,96,0.12,16072,0.0,Net 90 days,USD,plt,US,8/13/2023,8/16/2023,8/18/2023,8/18/2023,"Liftgate required at delivery, Call 2 hours before delivery",Standard terms and conditions apply,"Inside Delivery, Pallet Jack, Debris Removal",0,0.0,0.0,0,0,Douglas Ramirez,Foseco Manufacturing,"20200 Sheldon Road, Cleveland, Ohio 44142 USA",Easeworkai,"canada, L6P 0A1 (Brampton)",Finance,CC81,GL3338,Ratha Natarajanan
PO9843,J.B. Hunt Transport Services,SUP0053,yes,1.5,2.7,LTL,Transportation Service,Ground freight,"J.B. Hunt offers Less Than Truckload (LTL) services, providing efficient transportation solutions for smaller freight shipments that don’t require a full truck. Their LTL services help businesses save costs by sharing truck space with other shipments, ensuring timely deliveries and flexible scheduling.",CAT5668,Ohio to Brampton,Dry Van,5000,5,48 x 40 x 60 (per pallet),327,3.2,0.25,74,0.12,8245,0.0,Net 90 days,USD,plt,US,9/27/2023,10/1/2023,10/4/2023,10/4/2023,"Liftgate required at delivery, Call 2 hours before delivery",Standard terms and conditions apply,Inside Delivery,0,0.0,0.0,0,0,Karen Bailey,Foseco Manufacturing,"20200 Sheldon Road, Cleveland, Ohio 44142 USA",Easeworkai,"canada, L6P 0A1 (Brampton)",Maintenance,CC80,GL3338,Ratha Natarajanan
PO9838,J.B. Hunt Transport Services,SUP0053,yes,1.5,2.7,LTL,Transportation Service,Ground freight,"J.B. Hunt offers Less Than Truckload (LTL) services, providing efficient transportation solutions for smaller freight shipments that don’t require a full truck. Their LTL services help businesses save costs by sharing truck space with other shipments, ensuring timely deliveries and flexible scheduling.",CAT5668,Ohio to Brampton,Dry Van,8000,8,48 x 40 x 60 (per pallet),327,3.2,0.25,74,0.12,16072,0.0,Net 90 days,USD,plt,US,10/25/2023,10/29/2023,10/31/2023,10/31/2023,"Liftgate required at delivery, Call 2 hours before delivery",Standard terms and conditions apply,Inside Delivery,0,0.0,0.0,0,0,Karen Bailey,Foseco Manufacturing,"20200 Sheldon Road, Cleveland, Ohio 44142 USA",Easeworkai,"canada, L6P 0A1 (Brampton)",Maintenance,CC80,GL3338,Ratha Natarajanan
PO9839,J.B. Hunt Transport Services,SUP0053,yes,1.5,2.7,LTL,Transportation Service,Ground freight,"J.B. Hunt offers Less Than Truckload (LTL) services, providing efficient transportation solutions for smaller freight shipments that don’t require a full truck. Their LTL services help businesses save costs by sharing truck space with other shipments, ensuring timely deliveries and flexible scheduling.",CAT5668,Ohio to Brampton,Dry Van,5000,5,48 x 40 x 60 (per pallet),327,3.3,0.25,74,0.12,8409,0.0,Net 90 days,USD,plt,US,1/25/2024,1/28/2024,1/30/2024,1/30/2024,"Liftgate required at delivery, Call 2 hours before delivery",Standard terms and conditions apply,Inside Delivery,0,0.0,0.0,0,0,Karen Bailey,Foseco Manufacturing,"20200 Sheldon Road, Cleveland, Ohio 44142 USA",Easeworkai,"canada, L6P 0A1 (Brampton)",Maintenance,CC80,GL3338,Ratha Natarajanan
PO9846,J.B. Hunt Transport Services,SUP0053,yes,1.5,2.7,LTL,Transportation Service,Ground freight,"J.B. Hunt offers Less Than Truckload (LTL) services, providing efficient transportation solutions for smaller freight shipments that don’t require a full truck. Their LTL services help businesses save costs by sharing truck space with other shipments, ensuring timely deliveries and flexible scheduling.",CAT5668,Ohio to Brampton,Dry Van,5000,5,48 x 40 x 60 (per pallet),327,3.3,0.25,74,0.12,8409,0.0,Net 90 days,USD,plt,US,3/25/2024,3/28/2024,3/31/2024,3/31/2024,"Liftgate required at delivery, Call 2 hours before delivery",Standard terms and conditions apply,Inside Delivery,0,0.0,0.0,0,0,Karen Bailey,Foseco Manufacturing,"20200 Sheldon Road, Cleveland, Ohio 44142 USA",Easeworkai,"canada, L6P 0A1 (Brampton)",Maintenance,CC80,GL3338,Ratha Natarajanan
PO9867,J.B. Hunt Transport Services,SUP0053,yes,1.5,2.7,LTL,Transportation Service,Ground freight,"J.B. Hunt offers Less Than Truckload (LTL) services, providing efficient transportation solutions for smaller freight shipments that don’t require a full truck. Their LTL services help businesses save costs by sharing truck space with other shipments, ensuring timely deliveries and flexible scheduling.",CAT5668,Ohio to Brampton,Dry Van,5000,5,48 x 40 x 60 (per pallet),327,3.3,0.25,74,0.12,8409,0.0,Net 90 days,USD,plt,US,4/11/2024,4/16/2024,4/18/2024,4/18/2024,"Liftgate required at delivery, Call 2 hours before delivery",Standard terms and conditions apply,Inside Delivery,0,0.0,0.0,0,0,Karen Bailey,Foseco Manufacturing,"20200 Sheldon Road, Cleveland, Ohio 44142 USA",Easeworkai,"canada, L6P 0A1 (Brampton)",Maintenance,CC80,GL3338,Ratha Natarajanan
PO9849,J.B. Hunt Transport Services,SUP0053,yes,1.5,2.7,LTL,Transportation Service,Ground freight,"J.B. Hunt offers Less Than Truckload (LTL) services, providing efficient transportation solutions for smaller freight shipments that don’t require a full truck. Their LTL services help businesses save costs by sharing truck space with other shipments, ensuring timely deliveries and flexible scheduling.",CAT5668,Ohio to Brampton,Dry Van,7000,7,48 x 40 x 60 (per pallet),327,3.3,0.25,74,0.12,13453,0.0,Net 90 days,USD,plt,US,7/4/2024,7/9/2024,7/12/2024,7/12/2024,"Liftgate required at delivery, Call 2 hours before delivery",Standard terms and conditions apply,Inside Delivery,0,0.0,0.0,0,0,Karen Bailey,Foseco Manufacturing,"20200 Sheldon Road, Cleveland, Ohio 44142 USA",Easeworkai,"canada, L6P 0A1 (Brampton)",Maintenance,CC80,GL3338,Ratha Natarajanan
PO9857,J.B. Hunt Transport Services,SUP0053,yes,1.5,2.7,LTL,Transportation Service,Ground freight,"J.B. Hunt offers Less Than Truckload (LTL) services, providing efficient transportation solutions for smaller freight shipments that don’t require a full truck. Their LTL services help businesses save costs by sharing truck space with other shipments, ensuring timely deliveries and flexible scheduling.",CAT5668,Ohio to Brampton,Dry Van,7000,7,48 x 40 x 60 (per pallet),327,3.3,0.25,74,0.12,13453,0.0,Net 90 days,USD,plt,US,9/25/2024,9/28/2024,9/30/2024,9/30/2024,"Liftgate required at delivery, Call 2 hours before delivery",Standard terms and conditions apply,Inside Delivery,0,0.0,0.0,0,0,Karen Bailey,Foseco Manufacturing,"20200 Sheldon Road, Cleveland, Ohio 44142 USA",Easeworkai,"canada, L6P 0A1 (Brampton)",Maintenance,CC80,GL3338,Ratha Natarajanan
PO9787,Old Dominion Freight Line,SUP0054,yes,2.5,3.3,LTL,Transportation Service,Ground freight,"Old Dominion Freight Line-From standard less-than-truckload (LTL) to air freight and everything in between, Old Dominion offers a range of shipping solutions to meet your every business need.",CAT5670,Ohio to Brampton,Dry Van,7000,7,48 x 40 x 60 (per pallet),327,2.8,0.24,69,0.13,12795,0.0,Net 30 days,USD,plt,US,2/22/2020,2/24/2020,2/27/2020,2/27/2020,"Liftgate required at delivery, Call 2 hours before delivery",Standard terms and conditions apply,Debris Removal,0,0.0,0.0,0,0,Alison Riley,Foseco Manufacturing,"20200 Sheldon Road, Cleveland, Ohio 44142 USA",Easeworkai,"canada, L6P 0A1 (Brampton)",Warehouse,CC82,GL3338,Ratha Natarajanan
PO9785,Old Dominion Freight Line,SUP0054,yes,2.5,3.3,LTL,Transportation Service,Ground freight,"Old Dominion Freight Line-From standard less-than-truckload (LTL) to air freight and everything in between, Old Dominion offers a range of shipping solutions to meet your every business need.",CAT5670,Ohio to Brampton,Dry Van,7000,7,48 x 40 x 60 (per pallet),327,2.8,0.24,69,0.13,12795,0.0,Net 30 days,USD,plt,US,2/24/2020,2/27/2020,2/29/2020,2/29/2020,"Liftgate required at delivery, Call 2 hours before delivery",Standard terms and conditions apply,Debris Removal,0,0.0,0.0,0,0,Alison Riley,Foseco Manufacturing,"20200 Sheldon Road, Cleveland, Ohio 44142 USA",Easeworkai,"canada, L6P 0A1 (Brampton)",Warehouse,CC82,GL3338,Ratha Natarajanan
PO9778,Old Dominion Freight Line,SUP0054,yes,2.5,3.3,LTL,Transportation Service,Ground freight,"Old Dominion Freight Line-From standard less-than-truckload (LTL) to air freight and everything in between, Old Dominion offers a range of shipping solutions to meet your every business need.",CAT5670,Ohio to Brampton,Dry Van,5000,5,48 x 40 x 60 (per pallet),327,2.8,0.24,69,0.13,7839,0.0,Net 30 days,USD,plt,US,3/7/2020,3/9/2020,3/11/2020,3/11/2020,"Liftgate required at delivery, Call 2 hours before delivery",Standard terms and conditions apply,Debris Removal,0,0.0,0.0,0,0,Alison Riley,Foseco Manufacturing,"20200 Sheldon Road, Cleveland, Ohio 44142 USA",Easeworkai,"canada, L6P 0A1 (Brampton)",Warehouse,CC82,GL3338,Ratha Natarajanan
PO9801,Old Dominion Freight Line,SUP0054,yes,2.5,3.3,LTL,Transportation Service,Ground freight,"Old Dominion Freight Line-From standard less-than-truckload (LTL) to air freight and everything in between, Old Dominion offers a range of shipping solutions to meet your every business need.",CAT5670,Ohio to Brampton,Dry Van,5000,5,48 x 40 x 60 (per pallet),327,2.8,0.24,69,0.13,7839,0.0,Net 30 days,USD,plt,US,5/9/2020,5/12/2020,5/14/2020,5/14/2020,"Liftgate required at delivery, Call 2 hours before delivery",Standard terms and conditions apply,Debris Removal,0,0.0,0.0,0,0,Alison Riley,Foseco Manufacturing,"20200 Sheldon Road, Cleveland, Ohio 44142 USA",Easeworkai,"canada, L6P 0A1 (Brampton)",Warehouse,CC82,GL3338,Ratha Natarajanan
PO9788,Old Dominion Freight Line,SUP0054,yes,2.5,3.3,LTL,Transportation Service,Ground freight,"Old Dominion Freight Line-From standard less-than-truckload (LTL) to air freight and everything in between, Old Dominion offers a range of shipping solutions to meet your every business need.",CAT5670,Ohio to Brampton,Dry Van,7000,7,48 x 40 x 60 (per pallet),327,2.8,0.24,69,0.13,12795,0.0,Net 30 days,USD,plt,US,6/18/2020,6/21/2020,6/24/2020,6/24/2020,"Liftgate required at delivery, Call 2 hours before delivery",Standard terms and conditions apply,Debris Removal,0,0.0,0.0,0,0,Alison Riley,Foseco Manufacturing,"20200 Sheldon Road, Cleveland, Ohio 44142 USA",Easeworkai,"canada, L6P 0A1 (Brampton)",Warehouse,CC82,GL3338,Ratha Natarajanan
PO9790,Old Dominion Freight Line,SUP0054,yes,2.5,3.3,LTL,Transportation Service,Ground freight,"Old Dominion Freight Line-From standard less-than-truckload (LTL) to air freight and everything in between, Old Dominion offers a range of shipping solutions to meet your every business need.",CAT5670,Ohio to Brampton,Dry Van,7000,7,48 x 40 x 60 (per pallet),327,2.8,0.24,69,0.13,12795,0.0,Net 30 days,USD,plt,US,6/20/2020,6/22/2020,6/25/2020,6/25/2020,"Liftgate required at delivery, Call 2 hours before delivery",Standard terms and conditions apply,Debris Removal,0,0.0,0.0,0,0,Alison Riley,Foseco Manufacturing,"20200 Sheldon Road, Cleveland, Ohio 44142 USA",Easeworkai,"canada, L6P 0A1 (Brampton)",Warehouse,CC82,GL3338,Ratha Natarajanan
PO9782,Old Dominion Freight Line,SUP0054,yes,2.5,3.3,LTL,Transportation Service,Ground freight,"Old Dominion Freight Line-From standard less-than-truckload (LTL) to air freight and everything in between, Old Dominion offers a range of shipping solutions to meet your every business need.",CAT5670,Ohio to Brampton,Dry Van,5000,5,48 x 40 x 60 (per pallet),327,2.8,0.24,69,0.13,7839,0.0,Net 30 days,USD,plt,US,7/24/2020,7/26/2020,7/28/2020,7/28/2020,"Liftgate required at delivery, Call 2 hours before delivery",Standard terms and conditions apply,Debris Removal,0,0.0,0.0,0,0,Alison Riley,Foseco Manufacturing,"20200 Sheldon Road, Cleveland, Ohio 44142 USA",Easeworkai,"canada, L6P 0A1 (Brampton)",Warehouse,CC82,GL3338,Ratha Natarajanan
PO9773,Old Dominion Freight Line,SUP0054,yes,2.5,3.3,LTL,Transportation Service,Ground freight,"Old Dominion Freight Line-From standard less-than-truckload (LTL) to air freight and everything in between, Old Dominion offers a range of shipping solutions to meet your every business need.",CAT5670,Ohio to Brampton,Dry Van,8000,8,48 x 40 x 60 (per pallet),327,2.8,0.24,69,0.13,15662,0.0,Net 30 days,USD,plt,US,8/3/2020,8/5/2020,8/7/2020,8/7/2020,"Liftgate required at delivery, Call 2 hours before delivery",Standard terms and conditions apply,Debris Removal,0,0.0,0.0,0,0,Alison Riley,Foseco Manufacturing,"20200 Sheldon Road, Cleveland, Ohio 44142 USA",Easeworkai,"canada, L6P 0A1 (Brampton)",Warehouse,CC82,GL3338,Ratha Natarajanan
PO9791,Old Dominion Freight Line,SUP0054,yes,2.5,3.3,LTL,Transportation Service,Ground freight,"Old Dominion Freight Line-From standard less-than-truckload (LTL) to air freight and everything in between, Old Dominion offers a range of shipping solutions to meet your every business need.",CAT5670,Ohio to Brampton,Dry Van,7000,7,48 x 40 x 60 (per pallet),327,2.8,0.24,69,0.13,12795,0.0,Net 30 days,USD,plt,US,10/7/2020,10/9/2020,10/12/2020,10/12/2020,"Liftgate required at delivery, Call 2 hours before delivery",Standard terms and conditions apply,Debris Removal,0,0.0,0.0,0,0,Alison Riley,Foseco Manufacturing,"20200 Sheldon Road, Cleveland, Ohio 44142 USA",Easeworkai,"canada, L6P 0A1 (Brampton)",Warehouse,CC82,GL3338,Ratha Natarajanan
PO9794,Old Dominion Freight Line,SUP0054,yes,2.5,3.3,LTL,Transportation Service,Ground freight,"Old Dominion Freight Line-From standard less-than-truckload (LTL) to air freight and everything in between, Old Dominion offers a range of shipping solutions to meet your every business need.",CAT5670,Ohio to Brampton,Dry Van,5000,5,48 x 40 x 60 (per pallet),327,2.8,0.24,69,0.13,7839,0.0,Net 30 days,USD,plt,US,10/25/2020,10/28/2020,10/30/2020,10/30/2020,"Liftgate required at delivery, Call 2 hours before delivery",Standard terms and conditions apply,Debris Removal,0,0.0,0.0,0,0,Alison Riley,Foseco Manufacturing,"20200 Sheldon Road, Cleveland, Ohio 44142 USA",Easeworkai,"canada, L6P 0A1 (Brampton)",Warehouse,CC82,GL3338,Ratha Natarajanan
PO9805,Old Dominion Freight Line,SUP0054,yes,2.5,3.3,LTL,Transportation Service,Ground freight,"Old Dominion Freight Line-From standard less-than-truckload (LTL) to air freight and everything in between, Old Dominion offers a range of shipping solutions to meet your every business need.",CAT5670,Ohio to Brampton,Dry Van,8000,8,48 x 40 x 60 (per pallet),327,2.8,0.24,69,0.13,15662,0.0,Net 30 days,USD,plt,US,1/16/2021,1/19/2021,1/21/2021,1/21/2021,"Liftgate required at delivery, Call 2 hours before delivery",Standard terms and conditions apply,"Inside Delivery, Pallet Jack",0,0.0,0.0,0,0,Vincent Vance,Foseco Manufacturing,"20200 Sheldon Road, Cleveland, Ohio 44142 USA",Easeworkai,"canada, L6P 0A1 (Brampton)",Production,CC85,GL3338,Ratha Natarajanan
PO9800,Old Dominion Freight Line,SUP0054,yes,2.5,3.3,LTL,Transportation Service,Ground freight,"Old Dominion Freight Line-From standard less-than-truckload (LTL) to air freight and everything in between, Old Dominion offers a range of shipping solutions to meet your every business need.",CAT5670,Ohio to Brampton,Dry Van,5000,5,48 x 40 x 60 (per pallet),327,2.8,0.24,69,0.13,7839,0.0,Net 30 days,USD,plt,US,5/8/2021,5/11/2021,5/14/2021,5/14/2021,"Liftgate required at delivery, Call 2 hours before delivery",Standard terms and conditions apply,Debris Removal,0,0.0,0.0,0,0,Alison Riley,Foseco Manufacturing,"20200 Sheldon Road, Cleveland, Ohio 44142 USA",Easeworkai,"canada, L6P 0A1 (Brampton)",Warehouse,CC82,GL3338,Ratha Natarajanan
PO9798,Old Dominion Freight Line,SUP0054,yes,2.5,3.3,LTL,Transportation Service,Ground freight,"Old Dominion Freight Line-From standard less-than-truckload (LTL) to air freight and everything in between, Old Dominion offers a range of shipping solutions to meet your every business need.",CAT5670,Ohio to Brampton,Dry Van,5000,5,48 x 40 x 60 (per pallet),327,2.8,0.24,69,0.13,7839,0.0,Net 30 days,USD,plt,US,6/27/2021,7/2/2021,7/4/2021,7/4/2021,"Liftgate required at delivery, Call 2 hours before delivery",Standard terms and conditions apply,Debris Removal,0,0.0,0.0,0,0,Alison Riley,Foseco Manufacturing,"20200 Sheldon Road, Cleveland, Ohio 44142 USA",Easeworkai,"canada, L6P 0A1 (Brampton)",Warehouse,CC82,GL3338,Ratha Natarajanan
PO9803,Old Dominion Freight Line,SUP0054,yes,2.5,3.3,LTL,Transportation Service,Ground freight,"Old Dominion Freight Line-From standard less-than-truckload (LTL) to air freight and everything in between, Old Dominion offers a range of shipping solutions to meet your every business need.",CAT5670,Ohio to Brampton,Dry Van,5000,5,48 x 40 x 60 (per pallet),327,2.8,0.24,69,0.13,7839,0.0,Net 30 days,USD,plt,US,9/10/2021,9/12/2021,9/15/2021,9/15/2021,"Liftgate required at delivery, Call 2 hours before delivery",Standard terms and conditions apply,Debris Removal,0,0.0,0.0,0,0,Alison Riley,Foseco Manufacturing,"20200 Sheldon Road, Cleveland, Ohio 44142 USA",Easeworkai,"canada, L6P 0A1 (Brampton)",Warehouse,CC82,GL3338,Ratha Natarajanan
PO9802,Old Dominion Freight Line,SUP0054,yes,2.5,3.3,LTL,Transportation Service,Ground freight,"Old Dominion Freight Line-From standard less-than-truckload (LTL) to air freight and everything in between, Old Dominion offers a range of shipping solutions to meet your every business need.",CAT5670,Ohio to Brampton,Dry Van,5000,5,48 x 40 x 60 (per pallet),327,2.8,0.24,69,0.13,7839,0.0,Net 30 days,USD,plt,US,9/22/2021,9/27/2021,9/30/2021,9/30/2021,"Liftgate required at delivery, Call 2 hours before delivery",Standard terms and conditions apply,Debris Removal,0,0.0,0.0,0,0,Alison Riley,Foseco Manufacturing,"20200 Sheldon Road, Cleveland, Ohio 44142 USA",Easeworkai,"canada, L6P 0A1 (Brampton)",Warehouse,CC82,GL3338,Ratha Natarajanan
PO9776,Old Dominion Freight Line,SUP0054,yes,2.5,3.3,LTL,Transportation Service,Ground freight,"Old Dominion Freight Line-From standard less-than-truckload (LTL) to air freight and everything in between, Old Dominion offers a range of shipping solutions to meet your every business need.",CAT5670,Ohio to Brampton,Dry Van,5000,5,48 x 40 x 60 (per pallet),327,2.8,0.24,69,0.13,7839,0.0,Net 30 days,USD,plt,US,10/11/2021,10/13/2021,10/15/2021,10/15/2021,"Liftgate required at delivery, Call 2 hours before delivery",Standard terms and conditions apply,Debris Removal,0,0.0,0.0,0,0,Alison Riley,Foseco Manufacturing,"20200 Sheldon Road, Cleveland, Ohio 44142 USA",Easeworkai,"canada, L6P 0A1 (Brampton)",Warehouse,CC82,GL3338,Ratha Natarajanan
PO9781,Old Dominion Freight Line,SUP0054,yes,2.5,3.3,LTL,Transportation Service,Ground freight,"Old Dominion Freight Line-From standard less-than-truckload (LTL) to air freight and everything in between, Old Dominion offers a range of shipping solutions to meet your every business need.",CAT5670,Ohio to Brampton,Dry Van,5000,5,48 x 40 x 60 (per pallet),327,2.8,0.24,69,0.13,7839,0.0,Net 30 days,USD,plt,US,10/29/2021,11/2/2021,11/5/2021,11/5/2021,"Liftgate required at delivery, Call 2 hours before delivery",Standard terms and conditions apply,Debris Removal,0,0.0,0.0,0,0,Alison Riley,Foseco Manufacturing,"20200 Sheldon Road, Cleveland, Ohio 44142 USA",Easeworkai,"canada, L6P 0A1 (Brampton)",Warehouse,CC82,GL3338,Ratha Natarajanan
